digit,percentage,type,precision,recall,f1-score
,,macro,0.9731,0.973,0.973
,,weighted,0.9733,0.9732,0.9732
,,macro,0.9728,0.9728,0.9728
,,weighted,0.9731,0.973,0.973
0,2,macro,0.9731,0.9725,0.9727
0,2,weighted,0.9731,0.9728,0.9728
1,2,macro,0.9704,0.9705,0.9703
1,2,weighted,0.9707,0.9704,0.9705
2,2,macro,0.9721,0.9719,0.9719
2,2,weighted,0.9723,0.9721,0.9721
3,2,macro,0.9679,0.9678,0.9677
3,2,weighted,0.9683,0.968,0.968
4,2,macro,0.9665,0.9652,0.9655
4,2,weighted,0.9667,0.9656,0.9658
5,2,macro,0.9681,0.967,0.9673
5,2,weighted,0.9681,0.9676,0.9676
6,2,macro,0.9677,0.9669,0.9672
6,2,weighted,0.9678,0.9675,0.9675
7,2,macro,0.9692,0.9688,0.9689
7,2,weighted,0.9693,0.9691,0.9691
8,2,macro,0.9649,0.9643,0.9645
8,2,weighted,0.965,0.9648,0.9648
9,2,macro,0.9651,0.9649,0.9649
9,2,weighted,0.9655,0.9653,0.9653
0,5,macro,0.9686,0.9683,0.9684
0,5,weighted,0.9689,0.9687,0.9687
1,5,macro,0.9671,0.9665,0.9667
1,5,weighted,0.9674,0.9671,0.9671
2,5,macro,0.963,0.9622,0.9624
2,5,weighted,0.9634,0.9627,0.9628
3,5,macro,0.9646,0.9644,0.9644
3,5,weighted,0.9651,0.9648,0.9648
4,5,macro,0.9618,0.9611,0.9613
4,5,weighted,0.9622,0.9617,0.9618
5,5,macro,0.963,0.9617,0.962
5,5,weighted,0.9633,0.9625,0.9626
6,5,macro,0.961,0.9605,0.9606
6,5,weighted,0.9615,0.9611,0.9612
7,5,macro,0.9605,0.9596,0.9598
7,5,weighted,0.9609,0.9603,0.9604
8,5,macro,0.9589,0.958,0.9582
8,5,weighted,0.9594,0.9586,0.9587
9,5,macro,0.9587,0.9572,0.9575
9,5,weighted,0.9591,0.958,0.9581
0,8,macro,0.9581,0.9576,0.9577
0,8,weighted,0.9586,0.9582,0.9583
1,8,macro,0.9605,0.9594,0.9597
1,8,weighted,0.9609,0.9602,0.9603
2,8,macro,0.9589,0.9576,0.9579
2,8,weighted,0.9594,0.9582,0.9584
3,8,macro,0.9552,0.9543,0.9544
3,8,weighted,0.9558,0.9547,0.9549
4,8,macro,0.9557,0.9549,0.9551
4,8,weighted,0.9563,0.9557,0.9558
5,8,macro,0.9599,0.9591,0.9594
5,8,weighted,0.9603,0.9598,0.9599
6,8,macro,0.9564,0.9554,0.9556
6,8,weighted,0.9569,0.9561,0.9562
7,8,macro,0.9561,0.9551,0.9552
7,8,weighted,0.9568,0.9556,0.9558
8,8,macro,0.9537,0.9527,0.9529
8,8,weighted,0.9544,0.9532,0.9535
9,8,macro,0.9561,0.9547,0.955
9,8,weighted,0.9565,0.9555,0.9557
0,15,macro,0.9546,0.9528,0.9532
0,15,weighted,0.9552,0.9536,0.9539
1,15,macro,0.9548,0.9536,0.9538
1,15,weighted,0.9554,0.9542,0.9544
2,15,macro,0.954,0.9526,0.9529
2,15,weighted,0.9547,0.9534,0.9537
3,15,macro,0.9529,0.9515,0.9517
3,15,weighted,0.9536,0.9521,0.9524
4,15,macro,0.9546,0.9537,0.9539
4,15,weighted,0.9553,0.9543,0.9545
5,15,macro,0.9518,0.9512,0.9512
5,15,weighted,0.9529,0.9515,0.9518
6,15,macro,0.9542,0.9526,0.9529
6,15,weighted,0.9548,0.9533,0.9536
7,15,macro,0.9541,0.9528,0.9531
7,15,weighted,0.9547,0.9535,0.9537
8,15,macro,0.9516,0.9499,0.9502
8,15,weighted,0.9524,0.9504,0.9508
9,15,macro,0.9539,0.9522,0.9526
9,15,weighted,0.9545,0.953,0.9533
0,20,macro,0.9502,0.9487,0.9489
0,20,weighted,0.9509,0.9492,0.9495
1,20,macro,0.951,0.9488,0.9493
1,20,weighted,0.9516,0.9495,0.9499
2,20,macro,0.95,0.9481,0.9485
2,20,weighted,0.9508,0.9488,0.9493
3,20,macro,0.9508,0.9493,0.9496
3,20,weighted,0.9514,0.95,0.9503
4,20,macro,0.9516,0.9507,0.9508
4,20,weighted,0.9525,0.9511,0.9514
5,20,macro,0.9519,0.9506,0.9509
5,20,weighted,0.9525,0.9512,0.9515
6,20,macro,0.95,0.9485,0.9487
6,20,weighted,0.9507,0.9489,0.9493
7,20,macro,0.9509,0.9493,0.9496
7,20,weighted,0.9516,0.95,0.9503
8,20,macro,0.9464,0.9413,0.9423
8,20,weighted,0.9472,0.942,0.9431
9,20,macro,0.9503,0.9482,0.9486
9,20,weighted,0.951,0.9489,0.9493
0,50,macro,0.9471,0.9441,0.9446
0,50,weighted,0.948,0.9446,0.9453
1,50,macro,0.9478,0.9449,0.9455
1,50,weighted,0.9484,0.9458,0.9463
2,50,macro,0.9491,0.9473,0.9477
2,50,weighted,0.9498,0.9481,0.9484
3,50,macro,0.9486,0.9463,0.9468
3,50,weighted,0.9494,0.947,0.9475
4,50,macro,0.9469,0.945,0.9454
4,50,weighted,0.9477,0.9457,0.9462
5,50,macro,0.9479,0.9466,0.9467
5,50,weighted,0.9489,0.9471,0.9475
6,50,macro,0.9486,0.9464,0.9467
6,50,weighted,0.9494,0.9471,0.9475
7,50,macro,0.9474,0.9439,0.9446
7,50,weighted,0.9482,0.9447,0.9454
8,50,macro,0.9451,0.9391,0.9403
8,50,weighted,0.9461,0.9397,0.9411
9,50,macro,0.9482,0.9454,0.9459
9,50,weighted,0.9489,0.9461,0.9467
0,80,macro,0.9443,0.9414,0.9418
0,80,weighted,0.9452,0.942,0.9426
1,80,macro,0.9491,0.9463,0.9469
1,80,weighted,0.9497,0.9471,0.9476
2,80,macro,0.9475,0.9442,0.945
2,80,weighted,0.9481,0.945,0.9457
3,80,macro,0.9433,0.9396,0.9404
3,80,weighted,0.944,0.9405,0.9412
4,80,macro,0.945,0.9413,0.942
4,80,weighted,0.9458,0.9419,0.9428
5,80,macro,0.9443,0.9409,0.9415
5,80,weighted,0.9454,0.9412,0.9422
6,80,macro,0.9449,0.9422,0.9426
6,80,weighted,0.9457,0.9427,0.9433
7,80,macro,0.9427,0.9379,0.9388
7,80,weighted,0.9436,0.9385,0.9396
8,80,macro,0.9408,0.9308,0.933
8,80,weighted,0.9419,0.9316,0.9341
9,80,macro,0.9385,0.9331,0.934
9,80,weighted,0.9393,0.9337,0.9348
